,0_Proportion,1_Proportion,2_Proportion,3_Proportion,4_Proportion,5_Proportion,6_Proportion,7_Proportion,label
0,0.0,0.0,0.899,0.047,0.034,0.007,0.0,0.007,0
1,0.0,0.006,0.939,0.03,0.018,0.0,0.0,0.0,0
2,0.0,0.014,0.886,0.079,0.007,0.0,0.007,0.0,0
3,0.0,0.019,0.898,0.064,0.006,0.0,0.006,0.0,0
4,0.0,0.0,0.921,0.02,0.033,0.013,0.007,0.0,0
5,0.0,0.0,0.914,0.033,0.039,0.0,0.007,0.0,0
6,0.0,0.006,0.916,0.026,0.0,0.0,0.032,0.013,0
7,0.007,0.007,0.861,0.062,0.028,0.028,0.0,0.0,0
8,0.0,0.0,0.933,0.06,0.0,0.0,0.0,0.0,0
9,0.0,0.0,0.925,0.04,0.0,0.012,0.012,0.006,0
10,0.006,0.0,0.85,0.018,0.018,0.006,0.042,0.054,0
11,0.007,0.015,0.809,0.14,0.007,0.007,0.007,0.0,0
12,0.014,0.049,0.79,0.077,0.028,0.014,0.0,0.021,0
13,0.0,0.015,0.963,0.015,0.0,0.0,0.0,0.0,0
14,0.0,0.0,0.933,0.043,0.006,0.006,0.0,0.006,0
15,0.0,0.0,0.94,0.02,0.034,0.0,0.0,0.0,0
16,0.017,0.017,0.949,0.0,0.0,0.0,0.0,0.008,0
17,0.0,0.0,0.846,0.096,0.044,0.0,0.007,0.0,0
18,0.0,0.013,0.849,0.066,0.02,0.0,0.007,0.039,0
19,0.031,0.031,0.86,0.062,0.0,0.0,0.008,0.0,0
20,0.0,0.015,0.812,0.12,0.038,0.008,0.0,0.0,0
21,0.0,0.032,0.897,0.058,0.006,0.0,0.0,0.0,0
22,0.0,0.007,0.847,0.095,0.044,0.0,0.0,0.0,0
23,0.0,0.014,0.833,0.145,0.0,0.0,0.0,0.0,0
24,0.0,0.029,0.863,0.072,0.029,0.0,0.0,0.0,0
25,0.0,0.018,0.965,0.009,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.866,0.08,0.018,0.027,0.0,0.0,0
27,0.007,0.0,0.794,0.132,0.051,0.0,0.0,0.007,0
28,0.0,0.026,0.692,0.256,0.017,0.0,0.0,0.0,0
29,0.0,0.0,0.848,0.088,0.056,0.0,0.0,0.0,0
30,0.0,0.0,0.933,0.048,0.01,0.0,0.0,0.0,0
31,0.0,0.017,0.892,0.075,0.0,0.008,0.0,0.0,0
32,0.0,0.054,0.8,0.092,0.031,0.015,0.0,0.0,0
33,0.0,0.05,0.709,0.17,0.064,0.0,0.0,0.0,0
34,0.0,0.0,0.871,0.107,0.014,0.0,0.0,0.0,0
35,0.0,0.0,0.899,0.06,0.007,0.027,0.0,0.0,0
36,0.0,0.009,0.77,0.142,0.053,0.018,0.0,0.0,0
37,0.0,0.012,0.93,0.041,0.012,0.0,0.0,0.0,0
38,0.0,0.007,0.985,0.0,0.0,0.0,0.0,0.0,0
39,0.0,0.018,0.773,0.182,0.018,0.0,0.0,0.0,0
40,0.011,0.017,0.055,0.05,0.022,0.022,0.773,0.044,1
41,0.036,0.014,0.007,0.014,0.0,0.029,0.821,0.071,1
42,0.0,0.0,0.023,0.083,0.03,0.008,0.826,0.023,1
43,0.0,0.0,0.0,0.008,0.025,0.042,0.899,0.017,1
44,0.0,0.007,0.015,0.007,0.0,0.0,0.948,0.015,1
45,0.017,0.029,0.006,0.0,0.0,0.051,0.851,0.04,1
46,0.0,0.0,0.019,0.025,0.006,0.051,0.854,0.038,1
47,0.0,0.0,0.006,0.0,0.0,0.006,0.97,0.012,1
48,0.0,0.027,0.009,0.0,0.009,0.045,0.891,0.009,1
49,0.0,0.0,0.0,0.0,0.0,0.06,0.932,0.0,1
50,0.0,0.0,0.0,0.007,0.007,0.044,0.92,0.015,1
51,0.0,0.014,0.029,0.014,0.007,0.022,0.906,0.0,1
52,0.0,0.0,0.016,0.016,0.011,0.011,0.929,0.011,1
53,0.046,0.0,0.0,0.0,0.0,0.0,0.924,0.023,1
54,0.011,0.0,0.0,0.0,0.0,0.005,0.956,0.022,1
55,0.0,0.0,0.007,0.0,0.0,0.014,0.946,0.027,1
56,0.006,0.0,0.0,0.0,0.0,0.006,0.922,0.061,1
57,0.0,0.007,0.013,0.007,0.007,0.013,0.934,0.013,1
58,0.0,0.025,0.008,0.008,0.0,0.017,0.916,0.017,1
59,0.021,0.0,0.041,0.0,0.0,0.0,0.89,0.041,1
60,0.0,0.0,0.0,0.0,0.0,0.015,0.954,0.023,1
61,0.0,0.0,0.0,0.0,0.0,0.071,0.908,0.014,1
62,0.0,0.0,0.0,0.0,0.006,0.039,0.942,0.006,1
63,0.0,0.0,0.0,0.0,0.0,0.076,0.916,0.0,1
64,0.0,0.0,0.0,0.0,0.0,0.016,0.976,0.0,1
65,0.0,0.0,0.0,0.0,0.0,0.018,0.876,0.097,1
66,0.008,0.0,0.0,0.0,0.0,0.041,0.943,0.0,1
67,0.014,0.014,0.0,0.0,0.0,0.0,0.943,0.021,1
68,0.0,0.0,0.0,0.0,0.0,0.153,0.84,0.0,1
69,0.0,0.0,0.0,0.0,0.0,0.197,0.79,0.006,1
70,0.0,0.0,0.0,0.007,0.007,0.092,0.887,0.0,1
71,0.0,0.0,0.0,0.0,0.0,0.109,0.883,0.0,1
72,0.0,0.0,0.0,0.0,0.006,0.077,0.91,0.0,1
73,0.0,0.0,0.0,0.0,0.008,0.124,0.845,0.016,1
74,0.0,0.0,0.0,0.0,0.015,0.104,0.844,0.03,1
75,0.0,0.0,0.0,0.0,0.0,0.036,0.935,0.022,1
76,0.0,0.0,0.0,0.0,0.0,0.157,0.817,0.017,1
77,0.0,0.0,0.0,0.0,0.0,0.092,0.901,0.0,1
78,0.0,0.0,0.0,0.0,0.0,0.04,0.952,0.0,1
79,0.008,0.0,0.008,0.0,0.008,0.0,0.909,0.058,1
80,0.0,0.0,0.0,0.043,0.871,0.069,0.009,0.0,2
81,0.025,0.005,0.005,0.071,0.854,0.025,0.0,0.01,2
82,0.016,0.005,0.016,0.086,0.8,0.049,0.022,0.0,2
83,0.026,0.006,0.006,0.135,0.703,0.084,0.019,0.013,2
84,0.026,0.006,0.019,0.0,0.787,0.123,0.019,0.013,2
85,0.016,0.008,0.008,0.031,0.915,0.016,0.0,0.0,2
86,0.0,0.012,0.0,0.036,0.812,0.133,0.0,0.0,2
87,0.012,0.006,0.012,0.047,0.787,0.124,0.006,0.0,2
88,0.0,0.0,0.0,0.076,0.675,0.223,0.0,0.019,2
89,0.0,0.0,0.0,0.09,0.686,0.154,0.045,0.019,2
90,0.007,0.0,0.007,0.09,0.71,0.117,0.034,0.028,2
91,0.0,0.0,0.0,0.071,0.748,0.168,0.006,0.0,2
92,0.006,0.006,0.006,0.093,0.692,0.163,0.012,0.017,2
93,0.013,0.0,0.0,0.159,0.715,0.066,0.02,0.02,2
94,0.031,0.0,0.0,0.038,0.715,0.115,0.046,0.046,2
95,0.008,0.0,0.0,0.047,0.773,0.102,0.039,0.023,2
96,0.0,0.0,0.0,0.106,0.682,0.205,0.0,0.0,2
97,0.015,0.015,0.0,0.052,0.776,0.112,0.015,0.007,2
98,0.047,0.0,0.0,0.02,0.793,0.087,0.02,0.027,2
99,0.031,0.016,0.0,0.008,0.797,0.094,0.008,0.039,2
100,0.0,0.0,0.008,0.09,0.865,0.03,0.0,0.0,2
101,0.008,0.0,0.0,0.045,0.924,0.008,0.0,0.008,2
102,0.007,0.007,0.007,0.067,0.893,0.007,0.0,0.007,2
103,0.0,0.0,0.019,0.029,0.905,0.029,0.01,0.0,2
104,0.029,0.021,0.0,0.071,0.85,0.021,0.0,0.0,2
105,0.0,0.014,0.0,0.072,0.791,0.115,0.0,0.0,2
106,0.036,0.0,0.021,0.057,0.793,0.05,0.014,0.021,2
